Year,Geography,Total Population,Total Patient Pool,Diagnosed,Treated,Compliant / Adherent,Doxorubicin Hydrochloride Market Share (%),Capecitabine Market Share (%),Docetaxel Market Share (%),Fulvestrant Market Share (%),Estradiol Market Share (%),Palbociclib Market Share (%),Others/Generics Market Share (%),Doxorubicin Hydrochloride Net Revenue (USD),Capecitabine Net Revenue (USD),Docetaxel Net Revenue (USD),Fulvestrant Net Revenue (USD),Estradiol Net Revenue (USD),Palbociclib Net Revenue (USD),Others/Generics Net Revenue (USD)
2026,United States,343368000,439511,399955,375957,330842,35.0,20.0,12.0,6.0,6.0,0.0,21.0,5037071886,2878326792,1726996075,863498038,863498038,0,48355890
2027,United States,344741472,441269,401554,377460,332165,35.0,20.0,12.0,6.0,6.0,0.0,21.0,5057209080,2889833760,1733900256,866950128,866950128,0,48549207
2028,United States,346120437,443034,403160,378970,333494,32.6,18.7,11.2,5.6,5.6,6.7,19.6,4729272742,2712803689,1624780819,812390410,812390410,2235524324,45493863
2029,United States,347504919,444806,404773,380486,334828,30.6,17.5,10.5,5.2,5.2,12.5,18.4,4456891248,2548875714,1529325428,757380212,757380212,4187438673,42879372
2030,United States,348894939,446585,406392,382008,336167,28.6,16.3,9.8,4.9,4.9,18.3,17.2,4182254145,2383592397,1433080092,716540046,716540046,6154932760,40243229
2031,United States,350290519,448371,408017,383535,337511,27.3,15.6,9.4,4.7,4.7,22.0,16.4,4008109505,2290348289,1380081661,690040831,690040831,7428950219,38524833
2032,United States,351691681,450165,409650,385071,338862,26.7,15.2,9.1,4.6,4.6,23.8,16.0,3935718274,2240558718,1341387127,678063822,678063822,8068959488,37735726
2033,United States,353098447,451966,411289,386611,340218,26.4,15.1,9.1,4.5,4.5,24.6,15.8,3907059837,2234719831,1346751686,665976109,665976109,8373539605,37413058
2034,United States,354510841,453773,412933,388157,341578,26.3,15.0,9.0,4.5,4.5,24.8,15.8,3907824939,2228797494,1337278496,668639248,668639248,8475373937,37562667
2035,United States,355928885,455588,414585,389709,342944,26.3,15.0,9.0,4.5,4.5,24.9,15.8,3923449917,2237709078,1342625447,671312723,671312723,8543573260,37712857
