NCT ID,Brief Title,Overall Status,Phase,Start Date,Completion Date,Sponsor,Study Type,Enrollment,Interventions,Brief Summary
"NCT00857311","MRKAd5 HIV-1 Gag Vaccine (V520) in Subjects With Chronic Hepatitis C (V520-022) (COMPLETED)","COMPLETED","Phase 1","2004-05","2010-05","Merck Sharp & Dohme LLC","INTERVENTIONAL","17","BIOLOGICAL: MRKAd5 HIV-1 gag vaccine (V520); BIOLOGICAL: Comparator: Placebo; BIOLOGICAL: Comparator: Open Label Tetanus and Diptheria Toxoids Adsorbed; BIOLOGICAL: MRKAd5 HIV-1 gag vaccine (V520)","A Study to assess the general safety and tolerability of the administration of a 3-dose prime/boost regimen of the MRKAd5 HIV-1 gag vaccine (V520) in subjects with chronic hepatitis C virus infection."
"NCT01570244","Drug-drug Interaction of BI 201335 and Microgynon","COMPLETED","Phase 1","2012-04","2012-08","Boehringer Ingelheim","INTERVENTIONAL","16","DRUG: levonorgestrel; DRUG: Ethinylestradiol; DRUG: levonorgestrel; DRUG: BI 201335; DRUG: Ethinylestradiol","This study will investigate possible effect of multiple oral doses of BI 201335 on the steady state pharmacokinetics of ethinylestradiol and levonogestrel"
"NCT00421434","Study of Nitazoxanide, Peginterferon, and Ribavirin Combination Therapies in the Treatment of Chronic Hepatitis C","COMPLETED","Phase 2, Phase 3","2006-06","2008-09","Romark Laboratories L.C.","INTERVENTIONAL","121","DRUG: Nitazoxanide; BIOLOGICAL: Peginterferon alfa-2a; BIOLOGICAL: Peginterferon alfa-2a; DRUG: Ribavirin; DRUG: Ribavirin","The purpose of this study is to evaluate the safety and efficacy of nitazoxanide-peginterferon and nitazoxanide-peginterferon-ribavirin combination regimens compared to the standard of care (peginterferon-ribavirin) in treating chronic hepatitis C genotype 4. The study will also evaluate the effect of the studied treatment regimens on end of treatment virologic response, ALT normalization and safety parameters."
"NCT02666352","A Study of the Pharmacokinetics of Uprifosbuvir (MK-3682) and Ruzasvir (MK-8408) in Participants With Moderate and Severe Hepatic Insufficiency (MK-3682-029)","COMPLETED","Phase 1","2016-01-22","2017-01-16","Merck Sharp & Dohme LLC","INTERVENTIONAL","24","DRUG: Uprifosbuvir; DRUG: Ruzasvir","This is a non-randomized, open-label, single-dose study to evaluate the pharmacokinetics (PK) of uprifosbuvir (MK-3682), the M5 and M6 metabolites of uprifosbuvir, and ruzasvir (MK-8408), in participants with moderate hepatic insufficiency (HI), participants with severe HI, and age-matched healthy control participants."
"NCT00559247","A Single Ascending Dose Study of BMS-650032 in HCV Infected Subjects","COMPLETED","Phase 1, Phase 2","2008-01","2008-07","Bristol-Myers Squibb","INTERVENTIONAL","24","DRUG: BMS-650032 or Placebo","The primary purpose of this study is to evaluate the safety profile and tolerability of single oral doses of BMS-650032 in subjects with chronic hepatitis C infection"
"NCT04162938","Use of a Patient-Centered Electronic App to Increase ED Patient's Knowledge on HCV to Improve the HCV Care Continuum","RECRUITING","N/A","2022-03-24","2026-09","Johns Hopkins University","INTERVENTIONAL","308","OTHER: Patient-Centered Electronic App","The investigators will conduct a randomized controlled clinical trial study in an urban emergency department in Baltimore to determine the impact of an educational app which is based on Leventhal's Common-Sense Model of Illness Representations framework, on HCV-infected ED patient's hepatitis C virus (HCV) health belief and knowledge as well as the downstream outcomes of the HCV Continuum of Care (linkage to care rate, initiation of HCV antiviral treatment, and sustained virologic response). First, the investigators will develop a blueprinted prototype personalized HCV educational app which will (1) provide individualized liver fibrosis staging information, (2) pre-test HCV knowledge, perception of barriers to HCV care, and motivation to receive HCV care survey, (3) provide personalized HCV knowledge, facilitators and supporting information for HCV care via video clips and information sheets based on the pre-test results, and (4) provide post-test knowledge, perception, and motivation to receive HCV care. Second, the investigators will conduct a series of focus group discussion sessions to fine-tune the HCV educational app. Third, the investigators will enroll ED patients who have anti-HCV (newly diagnosed or previously diagnosed) but without HCV RNA testing information for a pilot randomized controlled clinical trial of the personalized HCV educational app."
"NCT07433985","California MEPS Hub","RECRUITING","N/A","2025-12-01","2029-07-31","University of California, Los Angeles","INTERVENTIONAL","318","BEHAVIORAL: Mobile Enhanced Prevention Support (MEPS); OTHER: Control","The California Hub for HIV/SUD Prevention Research with Reentry Populations addresses the question: ""Can the evidence-based MEPS intervention be adapted and implemented at a range of organizations to effectively serve a wider range of clients?""

The Mobile Enhanced Prevention Support (MEPS) intervention was originally implemented in Los Angeles County and was proven successful in promoting biomedical HIV prevention (PrEP) uptake and preventative screenings in people who used drugs who recently left incarceration. MEPS is an evidence-based intervention for people with substance use disorders (SUD) that incorporates a client-centered planning session, including trained peer mentors, service utilization incentives, and a mobile application (GeoPass).

The study includes a randomized controlled trial (RCT) across three community partners located in Riverside and Alameda Counties. At least 300 people will be enrolled in these three counties; the first 200 will be randomized to either receive the intervention or usual care, with the final 100 all receiving the intervention. The primary implementation outcome for the study involves using an implementation science framework and assessment tools to examine MEPS's implementation. Key outcomes include how well the implementation strategies used support intervention enrollment and retention, integration with existing services in each partnering community agency, and perceived intervention acceptability, feasibility, appropriateness, and maintenance at 6- and 12-months. The primary effectiveness outcome for the study is an increase in HIV testing, PrEP uptake and adherence, and SUD service utilization at 6 months and 12 months in the MEPS compared to the usual care group. Secondary effectiveness outcomes include frequency of service use for SUDs, hepatitis C virus testing, and linkage to care for those who test positive for HIV or hepatitis C."
"NCT01674725","A Study to Evaluate the Safety and Effect of the Experimental Drugs ABT-450/Ritonavir/ABT-267 (ABT-450/r/ABT-267) and ABT-333 in Subjects With Chronic Hepatitis C","COMPLETED","Phase 3","2012-08","2014-10","AbbVie (prior sponsor, Abbott)","INTERVENTIONAL","187","DRUG: ABT-450/r/ABT-267, ABT-333; DRUG: Ribavirin","The purpose of this study is to evaluate the safety and antiviral activity of ABT-450/ritonavir/ABT-267 (ABT-450/r/ABT-267; ABT-450 also known as paritaprevir; ABT-267 also known as ombitasvir) and ABT-333 (also known as dasabuvir) with and without ribavirin (RBV) in patients with chronic hepatitis C virus genotype 1b (HCV GT1b) infection without cirrhosis."
"NCT02057887","Safety,Tolerability and Pharmacokinetic Study of Recombinant Human Interferon Alfa 2B in Chronic Hepatitis C Patients (HM10660A)","UNKNOWN","Phase 1, Phase 2","2013-07","","Hanmi Pharmaceutical Company Limited","INTERVENTIONAL","64","DRUG: HM10660A; DRUG: Pegasys","The purpose of this study is to evaluate the safety and tolerability of multiple ascending doses of HM10660A in subjects with chronic hepatitis C(HCV)."
"NCT00804752","Vitamin D Treatment in Patients With Chronic Hepatitis C","UNKNOWN","N/A","","","Hillel Yaffe Medical Center","INTERVENTIONAL","","DRUG: Adding vitamin D; DRUG: Vitamin D","We hypothesize that patients with Ch.HCV have a low level of vitamin D, and that by raising their vitamin D levels by adding it to their standard treament of Pegylated Interferon and Ribavirin, there will be an increase in their sustained virological response."
"NCT01708889","Pharmacokinetic Study of BMS-914143 in Participants With Normal Renal Function and Mild, Moderate, Severe and End-stage Renal Dysfunction","COMPLETED","Phase 1","2012-09","2013-02","Bristol-Myers Squibb","INTERVENTIONAL","43","BIOLOGICAL: BMS-914143 (Peginterferon Lambda-1a)","The purpose of this study is to determine the effect of renal impairment on pharmacokinetics (PK) of BMS-914143."
"NCT00529568","Eltrombopag To Initiate And Maintain Interferon Antiviral Treatment To Benefit Subjects With Hepatitis C Liver Disease","COMPLETED","Phase 3","2007-10","2011-08","GlaxoSmithKline","INTERVENTIONAL","759","DRUG: eltrombopag; DRUG: placebo","The purpose of this study is to assess the ability of eltrombopag to maintain a platelet count sufficient to facilitate initiation of antiviral therapy, to minimise antiviral therapy dose reductions and to avoid permanent discontinuation of antiviral therapy. The clinical benefit of eltrombopag will be measured by the proportion of subjects who are able to achieve a Sustained Virological Response (SVR)."
"NCT03620474","Safety and Effectiveness of PRI-724 for Hepatitis C or B Virus Derived Liver Cirrhosis","COMPLETED","Phase 1, Phase 2","2018-07-24","2022-02-28","Kiminori Kimura, MD","INTERVENTIONAL","27","DRUG: PRI-724","To investigate the safety and efficacy of PRI-724 against HCV or HBV liver cirrhosis."
"NCT01559844","Efficacy of Sofosbuvir With Ribavirin Administered Pre-Transplant in Preventing Hepatitis C Virus (HCV) Recurrence Post-Transplant","COMPLETED","Phase 2","2012-03","2014-10","Gilead Sciences","INTERVENTIONAL","61","DRUG: Sofosbuvir; DRUG: Ribavirin","The primary objective is to determine if the administration of a combination of sofosbuvir (SOF; GS-7977; PSI-7977) and ribavirin (RBV) to HCV-infected adults with hepatocellular carcinoma (HCC) meeting the MILAN criteria prior to undergoing liver transplantation could prevent post-transplant re-infection as determined by a sustained post-transplant virological response (HCV RNA \< LLoQ) at 12 weeks post-transplant.

Participants will enroll in the pretransplant treatment phase (24 or 48 weeks). Participants enrolling for 24 weeks in the pretransplant treatment phase may receive treatment for up to an additional 24 weeks in the pretransplant retreatment phase. Participants enrolling for 48 weeks in the pretransplant treatment will have a second baseline at Week 24 for combined analysis in the pretransplant retreatment phase.

Participants who undergo liver transplant will stop all study drug 24 hours prior to transplant, and enter a 48-week follow-up phase to monitor for recurrent HCV infection."
"NCT03512210","Monitoring SOF/VEL in Treatment Naïve, HCV Participants With Active Infection","COMPLETED","Phase 4","2018-10-22","2021-02-28","Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections","INTERVENTIONAL","400","DRUG: Sofosbuvir/Velpatasvir (SOF/VEL); OTHER: Minimal Monitoring (MINMON) Strategy","To achieve global hepatitis C virus (HCV) elimination by 2030, 80% of the \~71 million people with chronic HCV infection will need to be treated, necessitating simplification of treatment delivery and associated laboratory monitoring without compromising efficacy or safety. The COVID-19 pandemic has further highlighted the need for innovative models of health care delivery that minimize face-to-face patient-provider contact. The purpose of this study was to evaluate the feasibility, safety, and efficacy of a minimal monitoring (MINMON) strategy to deliver interferon- and RBV-free, pan-genotypic DAA therapy to treat active HCV in HCV treatment naïve participants."
"NCT01008280","Baclofen to Reduce Alcohol Use in Veterans With HCV","COMPLETED","Phase 4","2010-10","2015-09","VA Office of Research and Development","INTERVENTIONAL","180","DRUG: baclofen; DRUG: placebo","Hepatitis C (HCV) is the most common blood born virus in the United States, affecting 1.8% of the general population and more than 5% of Veterans using VA facilities. As Veterans with HCV have high rates of co-morbid alcohol use disorders that accelerate greatly the liver damage caused by HCV, a safe and effective treatment for alcohol use disorders is needed. Baclofen is a novel treatment for alcohol use disorders that has minimal effect on the liver and may represent a safe and efficacious treatment option for Veterans with HCV and co-morbid alcohol use disorders."
"NCT00196586","Efficacy and Safety of Addition of IL-2 to Pegylated Interferon Alpha 2a and Ribavirin in HIV/HCV Coinfected Patients","COMPLETED","Phase 2","2003-04","2006-11","French National Agency for Research on AIDS and Viral Hepatitis","INTERVENTIONAL","75","DRUG: Interleukin 2; DRUG: pegylated interferon alpha 2a; DRUG: ribavirin","The purpose of this pilot study is to evaluate efficacy and safety of addition of IL-2 to pegylated interferon alpha 2a and ribavirin in HIV-HCV coinfected patients non-responders after three months of standard therapy with pegylated interferon alpha 2a and ribavirin. IL-2 may enhance numbers and function of CD4 T lymphocytes and specific anti-HCV immune responses and could participate to the control of HCV replication"
"NCT01153269","Long-term Effectiveness and Safety in Hepatitis-co-infected Patients","COMPLETED","","2001-05","2010-11","Abbott","OBSERVATIONAL","33","DRUG: Lopinavir/Ritonavir (Kaletra)","The aim of the study is to observe the tolerability and effectiveness of Kaletra in Human Immunodeficiency Virus/Hepatitis-B Virus and Human Immunodeficiency Virus/Hepatitis-C Virus co-infected patients."
"NCT00724295","Safety and Efficacy of PegIntron and Rebetol Combination Therapy in Patients With Chronic Hepatitis C in Japan (Study P04505)","COMPLETED","","2005-04","2008-12","Merck Sharp & Dohme LLC","OBSERVATIONAL","1077","DRUG: peginterferon alfa-2b; DRUG: ribavirin","This is a post-marketing surveillance of patients with chronic hepatitis C treated with PegIntron and Rebetol combination therapy in clinical practice in Japan. The objective of the study is to evaluate the safety and efficacy of the combination therapy. The study will also compare the safety profile of the combination therapy among elderly patients and younger patients.

Post-marketing surveys are not considered applicable clinical trials and thus the results of this survey will not be posted at its conclusion. The results will be submitted to public health officials as required by applicable national and international laws."
